timestamp,pCut::Motor_Torque,pCut::CTRL_Position_controller::Lag_error,pCut::CTRL_Position_controller::Actual_position,pCut::CTRL_Position_controller::Actual_speed,pSvolFilm::CTRL_Position_controller::Actual_position,pSvolFilm::CTRL_Position_controller::Actual_speed,pSvolFilm::CTRL_Position_controller::Lag_error,pSpintor::VAX_speed
0.00800000,0.00205471,-0.01635360,7488929,1781.84509277,18972224,3065.38647460,1.02414190,1799.99975585
0.01199999,-0.12217331,0.02916145,7488936,1757.81250000,18972236,3032.66894531,1.04935514,1799.99975585
0.01599999,0.00534149,-0.01265716,7488943,1744.07958984,18972248,3022.60180664,0.99806159,1799.99975585
0.01999999,-0.05578692,0.00963592,7488950,1699.44763183,18972260,3100.62060546,1.00918304,1799.99975585
0.02399999,-0.19250509,0.03653907,7488956,1637.64953613,18972272,3057.83618164,1.01467633,1799.99975585
0.02799999,-0.22331748,0.03905868,7488963,1613.61694335,18972284,3045.25268554,1.01371741,1799.99975585
0.03199999,-0.22312638,0.02640914,7488969,1568.98498535,18972297,3004.98486328,0.99161791,1799.99975585
0.03599999,-0.13725003,-0.00378036,7488975,1534.65270996,18972309,3070.41992187,1.04200041,1799.99975585
0.03999999,-0.05136565,-0.02054023,7488981,1517.48657226,18972321,3040.21899414,1.07769465,1799.99975585
0.04399999,-0.10721042,0.00121879,7488987,1465.98815917,18972333,3004.98461914,1.05719661,1799.99975585
0.04799999,-0.08106787,-0.00613784,7488993,1431.65588378,18972345,3015.05175781,1.02846217,1799.99975585
0.05199999,-0.04497930,-0.02072715,7488999,1393.89038085,18972357,3070.41992187,1.01542294,1799.99975585
0.05599999,-0.05795960,-0.00988388,7489004,1352.69165039,18972369,3047.76928710,1.01748418,1799.99975585
0.05999999,-0.06104004,-0.00894165,7489009,1318.35937500,18972382,2989.88427734,1.01350510,1799.99975585
0.06399999,-0.08215238,0.00084304,7489014,1273.72741699,18972394,3047.76928710,0.97571063,1799.99975585
0.06799999,-0.12242285,0.01159667,7489019,1194.76318359,18972406,3052.80297851,0.99085879,1799.99975585
0.07199999,-0.22999505,0.04642486,7489024,1163.86413574,18972418,3037.70239257,0.98687982,1799.99975585
0.07599999,-0.19427558,0.02840042,7489029,1143.26477050,18972430,2999.95117187,0.98189425,1799.99975585
0.07999999,-0.05208832,-0.01794433,7489033,1126.09863281,18972443,3080.48681640,0.95576602,1799.99975585
0.08399999,-0.07968879,-0.01534652,7489038,1067.73376464,18972455,3042.73608398,1.00212359,1799.99975585
0.08799999,-0.13611239,0.00564193,7489042,1040.26794433,18972467,3035.18579101,1.01869058,1799.99975585
0.09199999,-0.11217212,-0.01504135,7489046,978.46984863,18972479,3022.60180664,0.95934343,1799.99975585
0.09599999,-0.10049916,-0.00337982,7489050,971.60339355,18972491,3075.45361328,0.94630229,1799.99975585
0.09999999,-0.10036184,-0.00739288,7489053,906.37207031,18972503,3037.70239257,1.04601287,1799.99975585
0.10399999,-0.04832816,-0.01343536,7489057,865.17333984,18972515,3035.18579101,1.02029860,1799.99975585
0.10799999,-0.00646276,-0.02526855,7489060,841.14074707,18972528,3037.70239257,0.94283086,1799.99975585
0.11199999,-0.04574343,-0.00588798,7489064,806.80847167,18972540,3062.86987304,1.00529372,1799.99975585
0.11599999,0.00666295,-0.01986694,7489067,762.17651367,18972552,3052.80273437,0.99930143,1799.99975585
0.11999999,-0.05679150,0.00867080,7489070,720.97778320,18972564,3002.46801757,0.99129569,1799.99975585
0.12399999,-0.09080858,0.01230812,7489073,659.17968750,18972576,3010.01806640,0.98328995,1799.99975585
0.12799999,-0.04244586,-0.00036621,7489075,655.74645996,18972588,3047.76928710,1.05925190,1799.99975585
0.13199999,0.03304532,-0.01834869,7489078,607.68127441,18972601,3032.66870117,1.02909874,1799.99975585
0.13599999,0.01310157,-0.01128387,7489080,573.34899902,18972613,2997.43432617,1.01706624,1799.99975585
0.13999999,-0.00599130,-0.00382041,7489082,528.71704101,18972625,3045.25244140,0.99798691,1799.99975585
0.14399999,-0.08119625,0.02773094,7489084,490.95153808,18972637,3062.86987304,0.99240648,1799.99975585
0.14799999,-0.05600555,0.01066970,7489086,442.88635253,18972649,3022.60205078,0.98943424,1799.99975585
0.15199999,-0.00621147,-0.00399971,7489088,411.98730468,18972661,3007.50146484,0.97033780,1799.99975585
0.15599998,-0.03033345,0.00171279,7489089,370.78857421,18972674,3072.93676757,0.91501736,1799.99975585
0.15999998,-0.04105525,0.01028823,7489091,339.88952636,18972686,3037.70239257,0.93419235,1799.99975585
0.16399998,-0.07565273,0.01634597,7489092,305.55725097,18972698,3025.11865234,1.02484083,1799.99975585
0.16799998,-0.04236959,0.00236701,7489093,267.79174804,18972710,3020.08520507,1.00718200,1799.99975585
0.17199998,-0.03769083,-0.00124740,7489094,226.59301757,18972722,3083.00366210,1.02031493,1799.99975585
0.17599998,-0.05037339,0.00301170,7489095,192.26074218,18972734,3045.25268554,1.05358564,1799.99975585
0.17999998,-0.09190277,0.01401519,7489096,151.06201171,18972746,3057.83618164,1.02645075,1799.99975585
0.18399998,-0.09576729,0.01148986,7489096,113.29650878,18972759,3017.56835937,0.94436347,1799.99975585
0.18799998,-0.09655276,0.00806045,7489097,72.09777832,18972771,3090.55371093,0.94742947,1799.99975585
0.19199998,-0.11489224,0.01225852,7489097,34.33227539,18972783,3050.28613281,1.00183880,1799.99975585
0.19599998,-0.08392368,-0.00305557,7489097,3.43322753,18972795,3015.05151367,0.98779290,1799.99975585
0.19999998,0.08210278,-0.05267715,7489097,-27.46582031,18972807,3015.05175781,0.98784071,1799.99975585
0.20399998,0.17751820,-0.07171630,7489097,-78.96423339,18972819,3052.80273437,1.01406264,1799.99975585
0.20799998,0.20963175,-0.05984497,7489096,-116.72973632,18972831,3022.60205078,1.09405124,1799.99975585
0.21199998,0.24504457,-0.04829216,7489096,-151.06201171,18972844,3002.46801757,1.09812581,1799.99975585
0.21599998,0.22017315,-0.02704620,7489095,-199.12719726,18972856,3052.80273437,1.02569162,1799.99975585
0.21999998,0.21304024,-0.01089096,7489094,-226.59301757,18972868,3040.21899414,1.04083991,1799.99975585
0.22399998,0.26573559,-0.01176834,7489093,-264.35852050,18972880,3052.80273437,1.04029297,1799.99975585
0.22799998,0.30226966,-0.02237319,7489092,-298.69079589,18972892,3012.53491210,0.98094582,1799.99975585
0.23199998,0.30877318,-0.00942039,7489091,-343.32275390,18972905,3065.38647460,0.97293996,1799.99975585
0.23599998,0.26714166,0.01382255,7489089,-374.22180175,18972917,3055.31982421,1.06459701,1799.99975585
0.23999998,0.28642493,0.00802230,7489088,-405.12084960,18972929,3047.76928710,1.03544878,1799.99975585
0.24399998,0.34520652,-0.00589370,7489086,-436.01989746,18972941,3004.98461914,1.03147172,1799.99975585
0.24799998,0.33156841,0.00141906,7489084,-487.51831054,18972953,3098.10400390,1.03092288,1799.99975585
0.25199998,0.52462893,-0.04372787,7489082,-473.78540039,18972965,3060.35302734,1.05110657,1799.99975585
0.25599998,0.48529538,-0.03364944,7489080,-593.94836425,18972977,3017.56811523,1.05618596,1799.99975585
0.25999998,0.42696243,0.01548767,7489078,-593.94836425,18972990,3032.66918945,1.04918682,1799.99975585
0.26399998,0.19914500,0.09063720,7489075,-617.98095703,18973002,3098.10400390,1.01541900,1799.99975585
0.26799998,0.39892220,0.01358795,7489073,-642.01354980,18973014,3042.73583984,1.01144003,1799.99975585
0.27199998,0.38849952,0.00467681,7489070,-710.67810058,18973026,3007.50122070,1.06987619,1799.99975585
0.27599998,0.29579609,0.04109573,7489067,-720.97778320,18973038,3037.70239257,1.00952231,1799.99975585
0.27999998,0.49622160,-0.02068710,7489064,-751.87683105,18973050,3060.35302734,1.02567720,1799.99975585
0.28399998,0.46365255,-0.01281356,7489061,-793.07556152,18973063,3025.11865234,1.04627084,1799.99975585
0.28799998,0.42876857,0.00360107,7489058,-844.57397460,18973075,3020.08520507,1.02417135,1799.99975585
0.29199998,0.28850269,0.05261993,7489054,-872.03979492,18973087,3025.11865234,0.97287964,1799.99975585
0.29599998,0.30852606,0.04254913,7489051,-892.63916015,18973099,3037.70214843,1.04742097,1799.99975585
0.29999997,0.36101266,0.01256942,7489047,-940.70434570,18973111,3030.15185546,1.04948031,1799.99975585
0.30399997,0.30444809,0.03211784,7489043,-964.73693847,18973123,3007.50146484,1.02074778,1799.99975585
0.30799997,0.38093614,-0.00149345,7489039,-1012.80212402,18973136,3055.31958007,1.03790760,1799.99975585
0.31199997,0.38984340,-0.00919914,7489035,-1023.10180664,18973148,3042.73583984,1.06010460,1799.99975585
0.31599997,0.38566699,0.00157546,7489031,-1057.43408203,18973160,3060.35302734,1.07122409,1799.99975585
0.31999997,0.22000211,0.03801345,7489027,-1119.23217773,18973172,3017.56835937,1.03805291,1799.99975585
0.32399997,0.26651826,0.01992034,7489022,-1156.99768066,18973184,3093.07031250,1.04050719,1799.99975585
0.32799997,0.38764438,-0.01887512,7489018,-1181.03027343,18973196,3047.76928710,1.04156351,1799.99975585
0.33199997,0.43868219,-0.03273773,7489013,-1208.49609375,18973209,3050.28613281,1.03053569,1799.99975585
0.33599997,0.42826595,-0.01529312,7489008,-1229.09545898,18973221,3010.01831054,1.01045155,1799.99975585
0.33999997,0.39032757,-0.00133323,7489003,-1259.99450683,18973233,3085.52026367,1.02660465,1799.99975585
0.34399997,0.34773966,0.00946235,7488998,-1294.32678222,18973245,3032.66894531,1.06028723,1799.99975585
0.34799997,0.33870902,0.01252937,7488992,-1328.65905761,18973257,3020.08496093,1.03919255,1799.99975585
0.35199997,0.30482989,0.02097320,7488987,-1376.72424316,18973269,3030.15209960,1.02112174,1799.99975585
0.35599997,0.30297818,0.01517486,7488981,-1407.62329101,18973282,3057.83642578,1.00103366,1799.99975585
0.35999997,0.26310870,0.03115844,7488976,-1438.52233886,18973294,3042.73583984,1.02826035,1799.99975585
0.36399997,0.31425797,0.01224899,7488970,-1452.25524902,18973306,2997.43457031,0.99852126,1799.99975585
0.36799997,0.22538986,0.03499984,7488964,-1483.15429687,18973318,3032.66870117,0.96434342,1799.99975585
0.37199997,0.31612804,0.00360298,7488958,-1527.78625488,18973330,3042.73559570,0.99639749,1799.99975585
0.37599997,0.37267288,-0.00236129,7488952,-1538.08593750,18973342,3055.31933593,1.00660228,1799.99975585
0.37999997,0.41018196,-0.02376937,7488945,-1572.41821289,18973355,2992.40112304,1.01780724,1799.99975585
0.38399997,0.48237681,-0.04032135,7488939,-1606.75048828,18973367,3055.31958007,1.01491212,1799.99975585
