Loaded training and validation data.
Created model.
{'loss': 0.0418, 'grad_norm': 5.757974624633789, 'learning_rate': 2.49813579277865e-05, 'epoch': 10.01}
{'loss': 0.0398, 'grad_norm': 8.090387344360352, 'learning_rate': 2.4932299843014127e-05, 'epoch': 10.03}
{'loss': 0.0396, 'grad_norm': 4.256542205810547, 'learning_rate': 2.488324175824176e-05, 'epoch': 10.05}
{'loss': 0.0407, 'grad_norm': 4.0954179763793945, 'learning_rate': 2.4834183673469388e-05, 'epoch': 10.07}
{'loss': 0.0399, 'grad_norm': 6.72625207901001, 'learning_rate': 2.478512558869702e-05, 'epoch': 10.09}
{'loss': 0.0395, 'grad_norm': 4.453003406524658, 'learning_rate': 2.473606750392465e-05, 'epoch': 10.11}
{'loss': 0.04, 'grad_norm': 4.952942848205566, 'learning_rate': 2.4687009419152276e-05, 'epoch': 10.13}
{'loss': 0.0394, 'grad_norm': 4.254277229309082, 'learning_rate': 2.4637951334379906e-05, 'epoch': 10.15}
{'loss': 0.039, 'grad_norm': 4.593442916870117, 'learning_rate': 2.4588893249607537e-05, 'epoch': 10.16}
{'loss': 0.0388, 'grad_norm': 6.0503644943237305, 'learning_rate': 2.4539835164835164e-05, 'epoch': 10.18}
{'loss': 0.0389, 'grad_norm': 3.6312685012817383, 'learning_rate': 2.4490777080062797e-05, 'epoch': 10.2}
{'loss': 0.0387, 'grad_norm': 3.710120677947998, 'learning_rate': 2.4441718995290424e-05, 'epoch': 10.22}
{'loss': 0.039, 'grad_norm': 6.394252777099609, 'learning_rate': 2.4392660910518055e-05, 'epoch': 10.24}
{'loss': 0.0388, 'grad_norm': 5.15597677230835, 'learning_rate': 2.4343602825745685e-05, 'epoch': 10.26}
{'loss': 0.0381, 'grad_norm': 4.67431640625, 'learning_rate': 2.4294544740973312e-05, 'epoch': 10.28}
{'loss': 0.039, 'grad_norm': 3.6843953132629395, 'learning_rate': 2.4245486656200943e-05, 'epoch': 10.3}
{'loss': 0.0382, 'grad_norm': 3.293212890625, 'learning_rate': 2.4196428571428573e-05, 'epoch': 10.32}
{'loss': 0.0385, 'grad_norm': 5.114288330078125, 'learning_rate': 2.41473704866562e-05, 'epoch': 10.34}
{'loss': 0.0383, 'grad_norm': 7.049236297607422, 'learning_rate': 2.4098312401883834e-05, 'epoch': 10.36}
{'loss': 0.0386, 'grad_norm': 5.664878845214844, 'learning_rate': 2.404925431711146e-05, 'epoch': 10.38}
{'loss': 0.0384, 'grad_norm': 4.7970733642578125, 'learning_rate': 2.400019623233909e-05, 'epoch': 10.4}
{'loss': 0.0381, 'grad_norm': 6.636599063873291, 'learning_rate': 2.395113814756672e-05, 'epoch': 10.42}
{'loss': 0.0382, 'grad_norm': 4.30007791519165, 'learning_rate': 2.390208006279435e-05, 'epoch': 10.44}
{'loss': 0.0388, 'grad_norm': 6.566456317901611, 'learning_rate': 2.385302197802198e-05, 'epoch': 10.46}
{'loss': 0.0379, 'grad_norm': 4.581142902374268, 'learning_rate': 2.380396389324961e-05, 'epoch': 10.48}
{'loss': 0.0381, 'grad_norm': 6.4189453125, 'learning_rate': 2.3754905808477236e-05, 'epoch': 10.5}
{'loss': 0.0383, 'grad_norm': 4.504387855529785, 'learning_rate': 2.370584772370487e-05, 'epoch': 10.52}
{'loss': 0.0377, 'grad_norm': 4.8061347007751465, 'learning_rate': 2.3656789638932497e-05, 'epoch': 10.54}
{'loss': 0.0376, 'grad_norm': 5.513097763061523, 'learning_rate': 2.3607731554160127e-05, 'epoch': 10.56}
{'loss': 0.0377, 'grad_norm': 4.129086971282959, 'learning_rate': 2.3558673469387758e-05, 'epoch': 10.58}
