{'loss': 0.6412, 'grad_norm': 0.30839964747428894, 'learning_rate': 4.9903846153846154e-05, 'epoch': 0.02}
{'loss': 0.4855, 'grad_norm': 0.2794131934642792, 'learning_rate': 4.9805729984301415e-05, 'epoch': 0.04}
{'loss': 0.367, 'grad_norm': 2.256641149520874, 'learning_rate': 4.9707613814756676e-05, 'epoch': 0.06}
{'loss': 0.2945, 'grad_norm': 0.9094319343566895, 'learning_rate': 4.960949764521193e-05, 'epoch': 0.08}
{'loss': 0.2667, 'grad_norm': 0.811332106590271, 'learning_rate': 4.951138147566719e-05, 'epoch': 0.1}
{'loss': 0.252, 'grad_norm': 0.7112467288970947, 'learning_rate': 4.941326530612245e-05, 'epoch': 0.12}
{'loss': 0.2437, 'grad_norm': 0.8579742908477783, 'learning_rate': 4.931514913657771e-05, 'epoch': 0.14}
{'loss': 0.235, 'grad_norm': 0.4823269248008728, 'learning_rate': 4.9217032967032966e-05, 'epoch': 0.16}
{'loss': 0.2338, 'grad_norm': 1.1497149467468262, 'learning_rate': 4.911891679748823e-05, 'epoch': 0.18}
{'loss': 0.2303, 'grad_norm': 0.7090773582458496, 'learning_rate': 4.902080062794349e-05, 'epoch': 0.2}
{'loss': 0.2276, 'grad_norm': 0.9524086117744446, 'learning_rate': 4.892268445839875e-05, 'epoch': 0.22}
{'loss': 0.2247, 'grad_norm': 1.5349451303482056, 'learning_rate': 4.8824568288854e-05, 'epoch': 0.24}
{'loss': 0.2254, 'grad_norm': 0.48404359817504883, 'learning_rate': 4.872645211930926e-05, 'epoch': 0.26}
{'loss': 0.2249, 'grad_norm': 1.1404423713684082, 'learning_rate': 4.8628335949764524e-05, 'epoch': 0.27}
{'loss': 0.2217, 'grad_norm': 1.353710651397705, 'learning_rate': 4.8530219780219785e-05, 'epoch': 0.29}
{'loss': 0.2262, 'grad_norm': 0.567766547203064, 'learning_rate': 4.843210361067504e-05, 'epoch': 0.31}
{'loss': 0.2191, 'grad_norm': 0.8271063566207886, 'learning_rate': 4.83339874411303e-05, 'epoch': 0.33}
{'loss': 0.2193, 'grad_norm': 0.6242493391036987, 'learning_rate': 4.823587127158556e-05, 'epoch': 0.35}
{'loss': 0.2163, 'grad_norm': 1.1799074411392212, 'learning_rate': 4.813775510204082e-05, 'epoch': 0.37}
{'loss': 0.2166, 'grad_norm': 0.6452319025993347, 'learning_rate': 4.8039638932496075e-05, 'epoch': 0.39}
{'loss': 0.2166, 'grad_norm': 0.8252454996109009, 'learning_rate': 4.7941522762951336e-05, 'epoch': 0.41}
{'loss': 0.213, 'grad_norm': 0.8099313378334045, 'learning_rate': 4.78434065934066e-05, 'epoch': 0.43}
{'loss': 0.2156, 'grad_norm': 0.8590015769004822, 'learning_rate': 4.774529042386186e-05, 'epoch': 0.45}
{'loss': 0.211, 'grad_norm': 0.7966881990432739, 'learning_rate': 4.764717425431711e-05, 'epoch': 0.47}
{'loss': 0.2124, 'grad_norm': 0.5888208150863647, 'learning_rate': 4.754905808477237e-05, 'epoch': 0.49}
{'loss': 0.2113, 'grad_norm': 1.048002004623413, 'learning_rate': 4.745094191522763e-05, 'epoch': 0.51}
{'loss': 0.2112, 'grad_norm': 1.1078420877456665, 'learning_rate': 4.735282574568289e-05, 'epoch': 0.53}
{'loss': 0.2121, 'grad_norm': 0.7269852757453918, 'learning_rate': 4.725470957613815e-05, 'epoch': 0.55}
{'loss': 0.2063, 'grad_norm': 0.6617816686630249, 'learning_rate': 4.715659340659341e-05, 'epoch': 0.57}
{'loss': 0.2082, 'grad_norm': 0.9398244619369507, 'learning_rate': 4.705847723704867e-05, 'epoch': 0.59}
{'loss': 0.2033, 'grad_norm': 0.5138371586799622, 'learning_rate': 4.696036106750393e-05, 'epoch': 0.61}
{'loss': 0.203, 'grad_norm': 1.1170330047607422, 'learning_rate': 4.6862244897959184e-05, 'epoch': 0.63}
{'loss': 0.1998, 'grad_norm': 0.8364686965942383, 'learning_rate': 4.6764128728414445e-05, 'epoch': 0.65}
{'loss': 0.2011, 'grad_norm': 0.4572080373764038, 'learning_rate': 4.6666012558869706e-05, 'epoch': 0.67}
{'loss': 0.1987, 'grad_norm': 0.6296447515487671, 'learning_rate': 4.656789638932496e-05, 'epoch': 0.69}
{'loss': 0.1976, 'grad_norm': 1.5071191787719727, 'learning_rate': 4.646978021978022e-05, 'epoch': 0.71}
{'loss': 0.1973, 'grad_norm': 1.3817378282546997, 'learning_rate': 4.637166405023548e-05, 'epoch': 0.73}
{'loss': 0.1947, 'grad_norm': 1.260256052017212, 'learning_rate': 4.6273547880690735e-05, 'epoch': 0.75}
{'loss': 0.1944, 'grad_norm': 1.3558027744293213, 'learning_rate': 4.6175431711146e-05, 'epoch': 0.77}
{'loss': 0.1923, 'grad_norm': 1.3628939390182495, 'learning_rate': 4.607731554160126e-05, 'epoch': 0.78}
{'loss': 0.1889, 'grad_norm': 1.451006531715393, 'learning_rate': 4.597919937205652e-05, 'epoch': 0.8}
{'loss': 0.1862, 'grad_norm': 1.4819344282150269, 'learning_rate': 4.588108320251178e-05, 'epoch': 0.82}
{'loss': 0.1858, 'grad_norm': 1.1625503301620483, 'learning_rate': 4.578296703296703e-05, 'epoch': 0.84}
{'loss': 0.1839, 'grad_norm': 1.5611393451690674, 'learning_rate': 4.568485086342229e-05, 'epoch': 0.86}
{'loss': 0.1812, 'grad_norm': 1.2459888458251953, 'learning_rate': 4.5586734693877554e-05, 'epoch': 0.88}
{'loss': 0.1828, 'grad_norm': 1.4682022333145142, 'learning_rate': 4.548861852433281e-05, 'epoch': 0.9}
{'loss': 0.1815, 'grad_norm': 1.8903566598892212, 'learning_rate': 4.5390502354788075e-05, 'epoch': 0.92}
{'loss': 0.18, 'grad_norm': 2.0343968868255615, 'learning_rate': 4.529238618524333e-05, 'epoch': 0.94}
